split,threshold,TP,FP,TN,FN,accuracy,precision,recall,specificity,FPR,F1,F2,ROC_AUC,PR_AP
test,0.06877933547655313,268,957,1194,7,0.602638,0.218776,0.974545,0.555091,0.444909,0.357333,0.576344,0.933173,0.695436
test,0.0679122650930864,268,965,1186,7,0.59934,0.217356,0.974545,0.551371,0.448629,0.355438,0.574368,0.933173,0.695436
test,0.06724535176549165,268,973,1178,7,0.596043,0.215955,0.974545,0.547652,0.452348,0.353562,0.572405,0.933173,0.695436
test,0.06647919088292964,268,981,1170,7,0.592745,0.214572,0.974545,0.543933,0.456067,0.351706,0.570456,0.933173,0.695436
test,0.9664915028891244,61,12,2139,214,0.906843,0.835616,0.221818,0.994421,0.005579,0.350575,0.260017,0.933173,0.695436
test,0.06529928020614231,268,990,1161,7,0.589035,0.213037,0.974545,0.539749,0.460251,0.349641,0.568278,0.933173,0.695436
test,0.06434100907243955,268,998,1153,7,0.585738,0.21169,0.974545,0.53603,0.46397,0.347826,0.566357,0.933173,0.695436
test,0.06384539754804154,268,1006,1145,7,0.58244,0.210361,0.974545,0.532311,0.467689,0.34603,0.564448,0.933173,0.695436
test,0.06344917275782408,268,1014,1137,7,0.579143,0.209048,0.974545,0.528591,0.471409,0.344252,0.562552,0.933173,0.695436
test,0.06270070982463403,268,1022,1129,7,0.575845,0.207752,0.974545,0.524872,0.475128,0.342492,0.560669,0.933173,0.695436
test,0.06222206503078157,268,1030,1121,7,0.572547,0.206471,0.974545,0.521153,0.478847,0.34075,0.558799,0.933173,0.695436
test,0.06175334844931042,268,1038,1113,7,0.56925,0.205207,0.974545,0.517434,0.482566,0.339026,0.556941,0.933173,0.695436
test,0.06132267246705823,268,1046,1105,7,0.565952,0.203957,0.974545,0.513715,0.486285,0.337319,0.555095,0.933173,0.695436
test,0.061054263795902876,268,1054,1097,7,0.562655,0.202723,0.974545,0.509995,0.490005,0.335629,0.553262,0.933173,0.695436
test,0.060782503921722186,268,1063,1088,7,0.558945,0.201352,0.974545,0.505811,0.494189,0.333748,0.551213,0.933173,0.695436
test,0.06043110978241679,268,1071,1080,7,0.555647,0.200149,0.974545,0.502092,0.497908,0.332094,0.549405,0.933173,0.695436
test,0.060095898510623094,268,1079,1072,7,0.55235,0.198961,0.974545,0.498373,0.501627,0.330456,0.547609,0.933173,0.695436
test,0.059794437400651455,268,1087,1064,7,0.549052,0.197786,0.974545,0.494654,0.505346,0.328834,0.545825,0.933173,0.695436
test,0.05919024667777134,268,1095,1056,7,0.545754,0.196625,0.974545,0.490934,0.509066,0.327228,0.544052,0.933173,0.695436
test,0.05820711088161277,268,1103,1048,7,0.542457,0.195478,0.974545,0.487215,0.512785,0.325638,0.542291,0.933173,0.695436
test,0.05760876999351743,268,1111,1040,7,0.539159,0.194344,0.974545,0.483496,0.516504,0.324063,0.540541,0.933173,0.695436
test,0.9704223473065712,55,10,2141,220,0.905194,0.846154,0.2,0.995351,0.004649,0.323529,0.236052,0.933173,0.695436
test,0.05664242760535017,268,1119,1032,7,0.535862,0.193223,0.974545,0.479777,0.520223,0.322503,0.538802,0.933173,0.695436
test,0.05567681655181886,268,1127,1024,7,0.532564,0.192115,0.974545,0.476058,0.523942,0.320958,0.537074,0.933173,0.695436
test,0.055254327410832034,268,1136,1015,7,0.528854,0.190883,0.974545,0.471874,0.528126,0.319238,0.535144,0.933173,0.695436
test,0.054393971561537115,268,1144,1007,7,0.525556,0.189802,0.974545,0.468154,0.531846,0.317724,0.533439,0.933173,0.695436
test,0.05341655251659706,268,1152,999,7,0.522259,0.188732,0.974545,0.464435,0.535565,0.316224,0.531746,0.933173,0.695436
test,0.05269111438698002,268,1160,991,7,0.518961,0.187675,0.974545,0.460716,0.539284,0.314739,0.530063,0.933173,0.695436
test,0.051328040763101976,268,1168,983,7,0.515664,0.18663,0.974545,0.456997,0.543003,0.313267,0.528391,0.933173,0.695436
test,0.050608163897530214,268,1176,975,7,0.512366,0.185596,0.974545,0.453278,0.546722,0.311809,0.52673,0.933173,0.695436
test,0.04980113326888138,268,1184,967,7,0.509068,0.184573,0.974545,0.449558,0.550442,0.310365,0.525078,0.933173,0.695436
test,0.04911203847705973,268,1192,959,7,0.505771,0.183562,0.974545,0.445839,0.554161,0.308934,0.523438,0.933173,0.695436
test,0.048502845287169485,268,1200,951,7,0.502473,0.182561,0.974545,0.44212,0.55788,0.307516,0.521807,0.933173,0.695436
test,0.04810993659876669,268,1209,942,7,0.498763,0.181449,0.974545,0.437936,0.562064,0.305936,0.519984,0.933173,0.695436
test,0.04758135761341729,268,1217,934,7,0.495466,0.180471,0.974545,0.434217,0.565783,0.304545,0.518375,0.933173,0.695436
test,0.04697280785776844,268,1225,926,7,0.492168,0.179504,0.974545,0.430497,0.569503,0.303167,0.516776,0.933173,0.695436
test,0.045661706396390764,268,1233,918,7,0.488871,0.178548,0.974545,0.426778,0.573222,0.301802,0.515186,0.933173,0.695436
test,0.04467115632792743,269,1240,911,6,0.486397,0.178264,0.978182,0.423524,0.576476,0.30157,0.515523,0.933173,0.695436
test,0.043954450603517096,269,1248,903,6,0.4831,0.177324,0.978182,0.419805,0.580195,0.300223,0.513947,0.933173,0.695436
test,0.043535341421039334,269,1256,895,6,0.479802,0.176393,0.978182,0.416086,0.583914,0.298889,0.512381,0.933173,0.695436
test,0.042670916440768744,269,1264,887,6,0.476505,0.175473,0.978182,0.412366,0.587634,0.297566,0.510824,0.933173,0.695436
test,0.042129989410499745,269,1272,879,6,0.473207,0.174562,0.978182,0.408647,0.591353,0.296256,0.509277,0.933173,0.695436
test,0.9763893378284145,49,8,2143,226,0.903545,0.859649,0.178182,0.996281,0.003719,0.295181,0.211755,0.933173,0.695436
test,0.04146641153117076,269,1281,870,6,0.469497,0.173548,0.978182,0.404463,0.595537,0.294795,0.507547,0.933173,0.695436
test,0.04091975212830965,269,1289,862,6,0.4662,0.172657,0.978182,0.400744,0.599256,0.293508,0.50602,0.933173,0.695436
test,0.040439645719389,269,1297,854,6,0.462902,0.171775,0.978182,0.397025,0.602975,0.292232,0.504501,0.933173,0.695436
test,0.04018525967992792,269,1305,846,6,0.459604,0.170902,0.978182,0.393305,0.606695,0.290968,0.502992,0.933173,0.695436
test,0.03900523309052878,269,1313,838,6,0.456307,0.170038,0.978182,0.389586,0.610414,0.289715,0.501491,0.933173,0.695436
test,0.038528944382919754,269,1321,830,6,0.453009,0.169182,0.978182,0.385867,0.614133,0.288472,0.5,0.933173,0.695436
test,0.03759838788478425,270,1328,823,5,0.450536,0.168961,0.981818,0.382613,0.617387,0.288308,0.500371,0.933173,0.695436
test,0.036608723294364834,270,1336,815,5,0.447238,0.16812,0.981818,0.378894,0.621106,0.287081,0.498891,0.933173,0.695436
test,0.03590841991974118,270,1344,807,5,0.443941,0.167286,0.981818,0.375174,0.624826,0.285866,0.497421,0.933173,0.695436
test,0.03555334061514703,271,1352,799,4,0.441055,0.166975,0.985455,0.371455,0.628545,0.285564,0.497613,0.933173,0.695436
test,0.034493383750928745,271,1360,791,4,0.437758,0.166156,0.985455,0.367736,0.632264,0.284365,0.496155,0.933173,0.695436
test,0.033735877093305895,271,1368,783,4,0.43446,0.165345,0.985455,0.364017,0.635983,0.283177,0.494706,0.933173,0.695436
test,0.03291296043654732,272,1375,776,3,0.431987,0.165149,0.989091,0.360762,0.639238,0.283039,0.495086,0.933173,0.695436
test,0.032026953697768486,272,1383,768,3,0.428689,0.16435,0.989091,0.357043,0.642957,0.281865,0.493648,0.933173,0.695436
test,0.03146800498385167,272,1391,760,3,0.425392,0.16356,0.989091,0.353324,0.646676,0.280702,0.492219,0.933173,0.695436
test,0.030669823867425002,272,1399,752,3,0.422094,0.162777,0.989091,0.349605,0.650395,0.279548,0.490798,0.933173,0.695436
test,0.029953583484883223,272,1407,744,3,0.418796,0.162001,0.989091,0.345886,0.654114,0.278403,0.489385,0.933173,0.695436
test,0.9809412973189451,45,4,2147,230,0.903545,0.918367,0.163636,0.99814,0.00186,0.277778,0.195822,0.933173,0.695436
test,0.029339500798421656,272,1415,736,3,0.415499,0.161233,0.989091,0.342166,0.657834,0.277268,0.48798,0.933173,0.695436
test,0.02898347350934915,273,1423,728,2,0.412613,0.160967,0.992727,0.338447,0.661553,0.277017,0.488197,0.933173,0.695436
test,0.028521659022432734,273,1431,720,2,0.409316,0.160211,0.992727,0.334728,0.665272,0.275897,0.486805,0.933173,0.695436
test,0.027661598379325025,273,1439,712,2,0.406018,0.159463,0.992727,0.331009,0.668991,0.274786,0.48542,0.933173,0.695436
test,0.027116689769367177,273,1447,704,2,0.402721,0.158721,0.992727,0.32729,0.67271,0.273684,0.484043,0.933173,0.695436
test,0.026397425226306035,273,1455,696,2,0.399423,0.157986,0.992727,0.32357,0.67643,0.272591,0.482673,0.933173,0.695436
test,0.025617062791965593,273,1463,688,2,0.396125,0.157258,0.992727,0.319851,0.680149,0.271507,0.481312,0.933173,0.695436
