technique,technique_label,threshold,TP,FP,FN,IGNORED,GT,detections,precision,recall,sensitivity,F1,F2,fp_per_image
nms,NMS,0.1075319340129953,237,623,13,40,250,900,0.2755813953488372,0.948,0.948,0.42702702702702705,0.6370967741935483,2.5850622406639006
nms,NMS,0.10596648334823143,237,627,13,40,250,904,0.2743055555555556,0.948,0.948,0.4254937163375225,0.6357296137339056,2.6016597510373445
nms,NMS,0.10404177546364096,237,630,13,41,250,908,0.27335640138408307,0.948,0.948,0.42435094001790513,0.6347080878414568,2.6141078838174274
nms,NMS,0.10282121515221958,237,634,13,41,250,912,0.27210103329506313,0.948,0.948,0.42283675289919714,0.6333511491181185,2.6307053941908713
nms,NMS,0.1021037560527885,237,638,13,41,250,916,0.27085714285714285,0.948,0.948,0.4213333333333333,0.6320000000000001,2.6473029045643153
nms,NMS,0.10158688688622576,237,641,13,41,250,919,0.26993166287015946,0.948,0.948,0.4202127659574469,0.6309904153354632,2.659751037344398
nms,NMS,0.10084886574116965,237,644,13,41,250,922,0.2690124858115778,0.948,0.948,0.4190981432360743,0.6299840510366825,2.672199170124481
nms,NMS,0.10017108698445694,237,648,13,41,250,926,0.2677966101694915,0.948,0.948,0.41762114537444933,0.6286472148541115,2.6887966804979255
nms,NMS,0.09862630707139178,237,652,13,41,250,930,0.26659167604049494,0.948,0.948,0.41615452151009663,0.6273160402329274,2.7053941908713695
nms,NMS,0.09750160566245124,237,656,13,41,250,934,0.26539753639417696,0.948,0.948,0.4146981627296588,0.6259904912836767,2.7219917012448134
nms,NMS,0.09666091272640905,237,659,13,42,250,938,0.26450892857142855,0.948,0.948,0.4136125654450261,0.625,2.7344398340248963
nms,NMS,0.09580697184456152,237,663,13,42,250,942,0.2633333333333333,0.948,0.948,0.4121739130434783,0.6236842105263157,2.7510373443983402
nms,NMS,0.09509273291344786,237,666,13,43,250,946,0.26245847176079734,0.948,0.948,0.4111014744145706,0.6227009984235418,2.763485477178423
nms,NMS,0.09406386813902284,238,669,12,43,250,950,0.2624035281146637,0.952,0.952,0.41140881590319794,0.6240167802831672,2.775933609958506
nms,NMS,0.0929215068486138,238,673,12,43,250,954,0.26125137211855104,0.952,0.952,0.4099913867355728,0.6227106227106227,2.79253112033195
nms,NMS,0.0924018885421651,238,675,12,43,250,956,0.2606790799561884,0.952,0.952,0.40928632846087704,0.6220595922634605,2.800829875518672
nms,NMS,0.0917853618167636,238,678,12,44,250,960,0.259825327510917,0.952,0.952,0.40823327615780447,0.6210855949895616,2.8132780082987554
nms,NMS,0.09095173259136431,238,682,12,44,250,964,0.25869565217391305,0.952,0.952,0.4068376068376069,0.6197916666666666,2.8298755186721993
nms,NMS,0.09022263473964007,238,686,12,44,250,968,0.25757575757575757,0.952,0.952,0.40545144804088584,0.6185031185031186,2.8464730290456433
nms,NMS,0.0892084973549151,238,690,12,44,250,972,0.25646551724137934,0.952,0.952,0.40407470288624786,0.6172199170124482,2.863070539419087
nms,NMS,0.08854660768382085,238,694,12,44,250,976,0.2553648068669528,0.952,0.952,0.4027072758037225,0.6159420289855072,2.879668049792531
nms,NMS,0.08790171228596713,238,698,12,44,250,980,0.25427350427350426,0.952,0.952,0.40134907251264756,0.6146694214876033,2.896265560165975
nms,NMS,0.08735576710775111,238,701,12,44,250,983,0.2534611288604899,0.952,0.952,0.40033641715727497,0.6137184115523466,2.908713692946058
nms,NMS,0.08671904006631112,238,705,12,44,250,987,0.2523860021208908,0.952,0.952,0.3989941324392289,0.6124549665465775,2.925311203319502
nms,NMS,0.08633164316128347,238,709,12,44,250,991,0.25131995776135163,0.952,0.952,0.39766081871345027,0.6111967128916281,2.9419087136929463
nms,NMS,0.08571698868066834,238,712,12,45,250,995,0.2505263157894737,0.952,0.952,0.39666666666666667,0.6102564102564102,2.954356846473029
nms,NMS,0.08541662150356552,238,716,12,45,250,999,0.24947589098532494,0.952,0.952,0.3953488372093023,0.6090071647901739,2.970954356846473
nms,NMS,0.08495123316821156,238,720,12,45,250,1003,0.24843423799582465,0.952,0.952,0.39403973509933776,0.6077630234933605,2.987551867219917
nms,NMS,0.08423419766362564,238,724,12,45,250,1007,0.24740124740124741,0.952,0.952,0.3927392739273927,0.6065239551478084,3.004149377593361
nms,NMS,0.08346736310577801,238,728,12,45,250,1011,0.2463768115942029,0.952,0.952,0.39144736842105265,0.6052899287894202,3.020746887966805
